"startX" "startY" "startZ" "endX" "endY" "endZ" "cyl_ID" "parent_ID" "extension_ID" "length" "axis_ID" "segment_ID" "node_ID" "branching_order" "X94.5504632813008"
-0.61 -0.97 3.58 -0.61 -0.97 3.58 12772 12771 12773 0 11 12821 12771 2 58.14
-0.83 -1.26 3.67 -0.83 -1.27 3.67 12822 12821 12823 0 11 12829 12821 2 18.6
-0.86 -1.3 3.69 -0.86 -1.31 3.69 12830 12829 12831 0.01 11 12875 12829 2 45.64
0.48 0.34 5.23 0.49 0.35 5.23 13347 13346 13348 0.01 27 13361 13346 2 1.9
0.57 0.4 5.28 0.58 0.4 5.28 13362 13361 13363 0.01 27 13390 13361 2 60.33
0.76 0.52 5.38 0.76 0.52 5.38 13391 13390 13392 0.01 27 13418 13390 2 42.32
0.91 0.63 5.48 0.92 0.63 5.49 13419 13418 13420 0.01 27 13442 13418 2 31.99
1.06 0.73 5.61 1.06 0.73 5.61 13443 13442 13444 0.01 27 13476 13442 2 62.73
1.24 0.85 5.78 1.25 0.85 5.78 13477 13476 13478 0.01 27 13497 13476 2 17.38
1.34 0.92 5.88 1.34 0.92 5.88 13498 13497 13499 0.01 27 13521 13497 2 39.13
0.2 -0.15 3.23 0.2 -0.15 3.22 14032 14031 14033 0.01 7 14061 14031 2 73
0.38 -0.31 3.2 0.39 -0.31 3.2 14062 14061 14063 0.01 7 14084 14061 2 61.83
0.53 -0.42 3.2 0.54 -0.43 3.2 14085 14084 14086 0.01 7 14103 14084 2 33.52
0.68 -0.53 3.2 0.69 -0.53 3.2 14104 14103 14105 0.01 7 14141 14103 2 66.95
0.92 -0.7 3.25 0.93 -0.7 3.25 14142 14141 14143 0.01 7 14160 14141 2 34.2
1.04 -0.77 3.3 1.05 -0.78 3.3 14161 14160 14162 0 7 14194 14160 2 51.34
1.25 -0.89 3.37 1.25 -0.9 3.38 14195 14194 14196 0.01 7 14209 14194 2 2.95
0.3 -0.36 5.62 0.3 -0.36 5.63 14609 14608 14610 0.01 31 14628 14608 2 29.07
0.39 -0.46 5.7 0.39 -0.47 5.7 14629 14628 14630 0.01 31 14663 14628 2 69.25
0.55 -0.65 5.84 0.55 -0.66 5.84 14664 14663 14665 0.01 31 14681 14663 2 24.8
0.63 -0.75 5.93 0.64 -0.75 5.93 14682 14681 14683 0.01 31 14709 14681 2 33.38
0.73 -0.89 6.08 0.73 -0.89 6.08 14710 14709 14711 0.01 31 14764 14709 2 36.18
0.91 -1.1 6.36 0.92 -1.11 6.37 14765 14764 14766 0.01 31 14787 14764 2 30.44
